sample_id,actual_value,individual_prediction,ensemble_prediction,individual_error,ensemble_error,individual_abs_error,ensemble_abs_error,individual_squared_error,ensemble_squared_error
87,535.54355,514.6525522436124,527.2721036481385,20.890997756387605,8.271446351861528,20.890997756387605,8.271446351861528,436.43378725739194,68.41682475172337
88,190.0,193.4134955683372,196.28279162872627,-3.413495568337197,-6.282791628726272,3.413495568337197,6.282791628726272,11.651951995057683,39.473470649992926
89,270.0,313.54437277079177,301.73817640503296,-43.54437277079177,-31.73817640503296,43.54437277079177,31.73817640503296,1896.1124000016714,1007.3118415169909
90,327.3649,304.3712909460017,309.73479364138007,22.993609053998284,17.630106358619912,22.993609053998284,17.630106358619912,528.7060573281119,310.82065021625027
91,3.98,29.617840182562542,24.31153691757757,-25.63784018256254,-20.33153691757757,25.63784018256254,20.33153691757757,657.2988492266185,413.3713934308196
92,21.0,35.89178446729198,31.986674034660744,-14.891784467291977,-10.986674034660744,14.891784467291977,10.986674034660744,221.7652446202786,120.7070063438886
93,3.24,43.248528686504415,34.50609653872339,-40.00852868650441,-31.26609653872339,40.00852868650441,31.26609653872339,1600.6823676588465,977.5687927687707
94,766.60211768,733.532509036764,743.1125616487928,33.06960864323594,23.489556031207144,33.06960864323594,23.489556031207144,1093.5990158167851,551.7592425432199
95,26.0,22.702788416898038,22.948092797131125,3.297211583101962,3.0519072028688754,3.297211583101962,3.0519072028688754,10.871604223741748,9.314137574922922
96,63.566,66.85396502284904,66.40295578007559,-3.2879650228490362,-2.8369557800755842,3.2879650228490362,2.8369557800755842,10.810713991478664,8.048318098104266
97,301.9385,327.0261210305071,325.2941481975642,-25.087621030507137,-23.35564819756422,25.087621030507137,23.35564819756422,629.388728970344,545.4863027283849
98,3.94,11.816003148581997,10.375737991011416,-7.876003148581997,-6.4357379910114165,7.876003148581997,6.4357379910114165,62.03142559647353,41.41872348894766
99,66.0,93.73946620127452,80.14452752528126,-27.739466201274524,-14.144527525281262,27.739466201274524,14.144527525281262,769.4779851316517,200.06765891343926
100,804.42369812,759.8241588896091,770.1485649708986,44.599539230390974,34.27513314910141,44.599539230390974,34.27513314910141,1989.1188995631835,1174.78475238863
101,22.7,22.699070211541034,22.82590763019539,0.0009297884589649641,-0.12590763019538898,0.0009297884589649641,0.12590763019538898,8.645065784244427e-07,0.015852731341418826
102,3.02,10.580292835463489,9.057587788970281,-7.560292835463489,-6.037587788970281,7.560292835463489,6.037587788970281,57.15802775796056,36.452466309523054
103,1722.6386,1533.7360038468137,1575.1312933854904,188.90259615318632,147.50730661450962,188.90259615318632,147.50730661450962,35684.190833413806,21758.405504666953
104,116.0,122.46554655935742,118.93571579391951,-6.465546559357421,-2.9357157939195133,6.465546559357421,2.9357157939195133,41.80329231121858,8.618427222668478
105,10.5,37.276626489759444,31.65105764358924,-26.776626489759444,-21.15105764358924,26.776626489759444,21.15105764358924,716.9877261720872,447.3672394424348
106,934.4202,1072.0077515483624,1063.0465017898546,-137.5875515483624,-128.62630178985455,137.5875515483624,128.62630178985455,18930.33434107328,16544.72551213474
107,43.86032017,71.87146576003018,67.91895994372769,-28.011145590030175,-24.058639773727684,28.011145590030175,24.058639773727684,784.6242772658669,578.8181477619917
108,168.44905571,188.62839795082337,193.79533544224583,-20.17934224082336,-25.34627973224582,20.17934224082336,25.34627973224582,407.2058532722779,642.4338962652552
109,216.1244,280.47260967602284,266.3672821832311,-64.34820967602283,-50.2428821832311,64.34820967602283,50.2428821832311,4140.692088509399,2524.3472100780414
110,3591.4609991,3725.945786581794,3751.275681379674,-134.48478748179377,-159.8146822796739,134.48478748179377,159.8146822796739,18086.158064023235,25540.73267215311
111,307.34006957,271.0151876743473,273.8221047912642,36.32488189565271,33.5179647787358,36.32488189565271,33.5179647787358,1319.497044733118,1123.4539629085737
112,143.653,174.22334173632217,169.6120396041871,-30.570341736322177,-25.959039604187097,30.570341736322177,25.959039604187097,934.5457938755217,673.8717371717543
113,23.51930212,30.767976770039365,29.568952003439176,-7.248674650039366,-6.0496498834391765,7.248674650039366,6.0496498834391765,52.54328418212332,36.598263712195646
114,673.79622284,651.5036841796502,658.7833838160137,22.292538660349805,15.012839023986317,22.292538660349805,15.012839023986317,496.9572799231907,225.3853355601264
115,968.0,949.7072368620159,958.0750266140909,18.29276313798414,9.924973385909084,18.29276313798414,9.924973385909084,334.6251832223913,98.50509671100363
116,362.3262,445.00024525016414,442.7290424873696,-82.67404525016417,-80.40284248736964,82.67404525016417,80.40284248736964,6834.997758026193,6464.617080048773
117,1574.464,1539.5842115331936,1543.6144636933695,34.8797884668063,30.849536306630398,34.8797884668063,30.849536306630398,1216.599643489154,951.6938903341071
118,762.792,801.0005814827825,792.1465468759122,-38.208581482782506,-29.354546875912206,38.208581482782506,29.354546875912206,1459.8956989264302,861.689422290127
119,12.8723,30.038243028763823,26.739153447404284,-17.165943028763824,-13.866853447404285,17.165943028763824,13.866853447404285,294.6696000667653,192.2896245317881
